FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;EE;MEUR_KP_PRE;OBJ03,1.8 ,2.5 ,0 ,0.1 ,0.1 ,0.9 ,0.4 ,0.2 ,2.2 ,0.8 ,5.4 ,3.4 ,7.1 ,57.6 ,94.3 ,140.1 ,138.4 ,158.5 
A;EL;MEUR_KP_PRE;OBJ03,0.9 ,0 ,0 ,12.3 ,15.8 ,15.4 ,22 ,4.5 ,21 ,36.4 ,0 ,1.4 ,6.4 ,56.3 ,14.4 ,28.5 ,12 ,19.5 
A;ES;MEUR_KP_PRE;OBJ03,36.7 ,53.4 ,49.9 ,50.7 ,97.7 ,167.9 ,173.8 ,197.9 ,515.3 ,824.2 ,753 ,826.6 ,943.6 ,47.4 ,151.3 ,58.9 ,388.3 ,121 
A;EU28;MEUR_KP_PRE;OBJ03,5601.1 ,6846.8 ,7970.9 ,9703.4 ,11989.2 ,13126.7 ,14443.5 ,12316.3 ,13026.4 ,14235.7 ,14053.8 ,13003.4 ,14788 ,15822.1 ,42394 ,46805.3 ,57104.8 ,61278.1 
A;FI;MEUR_KP_PRE;OBJ03,71.4 ,74.1 ,91.2 ,219.6 ,231.9 ,214.5 ,232.6 ,242.5 ,268.8 ,335.9 ,322.6 ,1026.9 ,625.2 ,726.6 ,935.3 ,1026.5 ,1185.2 ,1310 
A;FR;MEUR_KP_PRE;OBJ03,284.3 ,223.4 ,357.5 ,157.1 ,132.6 ,147.6 ,148.2 ,163.6 ,165.6 ,562.7 ,526 ,573.8 ,737 ,774 ,944.5 ,2198.1 ,3488.6 ,4505.3 
A;HR;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.9 ,14.3 ,147.1 ,204.4 ,46.1 
A;HU;MEUR_KP_PRE;OBJ03,17.5 ,10.5 ,56.8 ,4.7 ,1.6 ,8.4 ,12.7 ,3.6 ,90.1 ,38.8 ,13.4 ,13.5 ,39.7 ,44 ,39.8 ,64.8 ,31.8 ,242.6 
A;IE;MEUR_KP_PRE;OBJ03,2.7 ,1 ,1 ,6.6 ,6.6 ,9.4 ,4.6 ,11.4 ,39.4 ,51 ,81.3 ,62.2 ,59 ,67 ,100.7 ,118.7 ,185.4 ,324.2 
A;IT;MEUR_KP_PRE;OBJ03,32.1 ,25.5 ,6.7 ,151.3 ,42 ,72.6 ,128.8 ,79.5 ,75.7 ,97.1 ,75 ,48.9 ,67.5 ,57.8 ,124.3 ,60.9 ,51.2 ,893.1 
A;LT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,2.6 ,9.8 ,18.3 ,21.5 ,31.8 ,2.9 ,7.1 ,7.7 ,3.9 ,11.5 ,109 ,106.2 ,137.2 
A;LU;MEUR_KP_PRE;OBJ03,0.8 ,0.8 ,0.2 ,0 ,0 ,3.5 ,2.9 ,0.8 ,8.1 ,7.9 ,12.6 ,31 ,11.8 ,5.4 ,83.5 ,125.7 ,128.2 ,90.2 
A;LV;MEUR_KP_PRE;OBJ03,0.4 ,0 ,0 ,0 ,0 ,0 ,2 ,5.8 ,9.8 ,10.6 ,55.6 ,36.3 ,12.4 ,10.3 ,15.4 ,37.4 ,39.9 ,39.2 
A;MT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0.7 
A;NL;MEUR_KP_PRE;OBJ03,164.5 ,326.2 ,469.4 ,500.9 ,573.1 ,763.3 ,937.8 ,787.4 ,980.9 ,1062.4 ,1051.7 ,1112.7 ,1094.7 ,1018.4 ,1008.8 ,1061.8 ,1123 ,1145.9 
A;PL;MEUR_KP_PRE;OBJ03,83.3 ,23.5 ,37.4 ,77.4 ,10.6 ,7.5 ,12.4 ,2.1 ,255.3 ,298.8 ,372.1 ,153.2 ,7.2 ,3.8 ,944.7 ,970 ,1042.7 ,1402 
A;PT;MEUR_KP_PRE;OBJ03,4.2 ,0.4 ,0.9 ,1.4 ,0.7 ,0.5 ,0.5 ,1.1 ,0.1 ,3.3 ,2.3 ,2.4 ,9.4 ,0 ,0.2 ,0 ,0 ,0.1 
A;RO;MEUR_KP_PRE;OBJ03,0 ,0 ,8 ,8.6 ,9.2 ,7.7 ,9 ,10.9 ,15.1 ,0 ,0 ,231.7 ,462.3 ,628 ,618.4 ,714.2 ,805.5 ,766.9 
